,bukken_num,title,address,line1,station1,time1,line2,station2,time2,line3,station3,time3,price,rent,fee,deposit,key,room_type,room_size,url
5198,3292,ソルナクレイシア方南町,東京都杉並区和泉４,東京メトロ丸ノ内線,方南町駅,7,京王井の頭線,永福町駅,16.0,京王線,代田橋駅,20.0,79000.0,74000.0,5000.0,74000.0,0.0,ワンルーム,20.08,https://suumo.jp/chintai/jnc_000068190192/?bc=100254270138
5199,3292,ソルナクレイシア方南町,東京都杉並区和泉４,東京メトロ丸ノ内線,方南町駅,7,京王井の頭線,永福町駅,16.0,京王線,代田橋駅,20.0,79000.0,74000.0,5000.0,74000.0,0.0,ワンルーム,20.08,https://suumo.jp/chintai/jnc_000068190191/?bc=100254270180
5200,3293,東京メトロ丸ノ内線 方南町駅 2階建 築2年,東京都杉並区和泉４,東京メトロ丸ノ内線,方南町駅,7,京王線,代田橋駅,20.0,京王線,笹塚駅,27.0,79000.0,74000.0,5000.0,74000.0,0.0,ワンルーム,20.08,https://suumo.jp/chintai/jnc_000068200663/?bc=100231821890
5201,3293,東京メトロ丸ノ内線 方南町駅 2階建 築2年,東京都杉並区和泉４,東京メトロ丸ノ内線,方南町駅,7,京王線,代田橋駅,20.0,京王線,笹塚駅,27.0,79000.0,74000.0,5000.0,74000.0,0.0,ワンルーム,20.08,https://suumo.jp/chintai/jnc_000068200662/?bc=100252683944
5202,3294,都営新宿線 篠崎駅 4階建 築7年,東京都江戸川区篠崎町２,都営新宿線,篠崎駅,5,都営新宿線,瑞江駅,26.0,,,,76000.0,70000.0,6000.0,70000.0,0.0,ワンルーム,24.3,https://suumo.jp/chintai/jnc_000069187803/?bc=100252817385
5203,3295,西武池袋線 中村橋駅 4階建 築4年,東京都練馬区中村北３,西武池袋線,中村橋駅,3,西武池袋線,富士見台駅,12.0,都営大江戸線,豊島園駅,18.0,80000.0,76000.0,4000.0,76000.0,76000.0,1K,24.63,https://suumo.jp/chintai/jnc_000032392724/?bc=100258856498
5204,3295,西武池袋線 中村橋駅 4階建 築4年,東京都練馬区中村北３,西武池袋線,中村橋駅,3,西武池袋線,富士見台駅,12.0,都営大江戸線,豊島園駅,18.0,80000.0,76000.0,4000.0,76000.0,76000.0,1K,24.63,https://suumo.jp/chintai/jnc_000069836364/?bc=100258833543
5205,3296,エスパーダ中村橋,東京都練馬区中村北３,西武池袋線,中村橋駅,3,西武池袋線,富士見台駅,12.0,西武池袋線,練馬駅,18.0,80000.0,76000.0,4000.0,76000.0,76000.0,1K,24.63,https://suumo.jp/chintai/jnc_000032352219/?bc=100258538149
5206,3297,ハーモニーテラス久我山II,東京都杉並区久我山２,京王井の頭線,久我山駅,10,京王線,芦花公園駅,25.0,京王井の頭線,富士見ヶ丘駅,12.0,55000.0,51500.0,3500.0,0.0,0.0,ワンルーム,10.58,https://suumo.jp/chintai/jnc_000069607988/?bc=100256871231
5207,3298,京急本線 新馬場駅 5階建 築2年,東京都品川区東品川１,京急本線,新馬場駅,8,ＪＲ山手線,品川駅,14.0,京急本線,北品川駅,7.0,79200.0,75200.0,4000.0,75200.0,75200.0,1K,19.59,https://suumo.jp/chintai/jnc_000069081601/?bc=100254702850
5208,3298,京急本線 新馬場駅 5階建 築2年,東京都品川区東品川１,京急本線,新馬場駅,8,ＪＲ山手線,品川駅,14.0,京急本線,北品川駅,7.0,80000.0,76000.0,4000.0,76000.0,76000.0,1K,20.79,https://suumo.jp/chintai/jnc_000068008580/?bc=100255756222
5209,3298,京急本線 新馬場駅 5階建 築2年,東京都品川区東品川１,京急本線,新馬場駅,8,ＪＲ山手線,品川駅,14.0,京急本線,北品川駅,7.0,80000.0,76000.0,4000.0,76000.0,76000.0,1K,20.3,https://suumo.jp/chintai/jnc_000068003250/?bc=100256115208
5210,3299,ストークハウス,東京都葛飾区堀切３,京成本線,堀切菖蒲園駅,2,京成本線,お花茶屋駅,20.0,東武伊勢崎線,堀切駅,15.0,75000.0,73000.0,2000.0,73000.0,0.0,1K,24.22,https://suumo.jp/chintai/jnc_000063301903/?bc=100223917187
5211,3300,多摩都市モノレール 万願寺駅 3階建 築6年,東京都日野市万願寺４,多摩都市モノレール,万願寺駅,6,京王線,高幡不動駅,21.0,多摩都市モノレール,高幡不動駅,22.0,75000.0,70000.0,5000.0,0.0,0.0,ワンルーム,23.18,https://suumo.jp/chintai/jnc_000067125823/?bc=100249150602
5212,3301,シャーメゾン昭島,東京都昭島市松原町１,ＪＲ青梅線,昭島駅,6,,,,,,,76000.0,72000.0,4000.0,72000.0,72000.0,ワンルーム,31.08,https://suumo.jp/chintai/jnc_000069062250/?bc=100254592742
5213,3302,西武新宿線 武蔵関駅 3階建 築2年,東京都練馬区関町南４,西武新宿線,武蔵関駅,7,西武新宿線,東伏見駅,25.0,ＪＲ中央線,吉祥寺駅,8.0,76000.0,72000.0,4000.0,0.0,0.0,1K,23.35,https://suumo.jp/chintai/jnc_000069830716/?bc=100258825047
5214,3303,仮称）豊島八丁目アパート,東京都北区豊島８,東京メトロ南北線,王子神谷駅,10,ＪＲ京浜東北線,東十条駅,20.0,ＪＲ埼京線,十条駅,29.0,56000.0,52500.0,3500.0,0.0,0.0,ワンルーム,10.58,https://suumo.jp/chintai/jnc_000069174083/?bc=100255216440
5215,3303,仮称）豊島八丁目アパート,東京都北区豊島８,東京メトロ南北線,王子神谷駅,10,ＪＲ京浜東北線,東十条駅,20.0,ＪＲ埼京線,十条駅,29.0,56000.0,52500.0,3500.0,0.0,0.0,ワンルーム,10.58,https://suumo.jp/chintai/jnc_000069174082/?bc=100258315539
5216,3303,仮称）豊島八丁目アパート,東京都北区豊島８,東京メトロ南北線,王子神谷駅,10,ＪＲ京浜東北線,東十条駅,20.0,ＪＲ埼京線,十条駅,29.0,56000.0,52500.0,3500.0,0.0,0.0,ワンルーム,10.57,https://suumo.jp/chintai/jnc_000069174084/?bc=100258315554
5217,3304,メリディアン常盤台,東京都板橋区常盤台３,東武東上線,ときわ台駅,7,東武東上線,上板橋駅,9.0,東武東上線,中板橋駅,18.0,65000.0,60000.0,5000.0,0.0,0.0,ワンルーム,12.22,https://suumo.jp/chintai/jnc_000065728044/?bc=100258024810
5218,3304,メリディアン常盤台,東京都板橋区常盤台３,東武東上線,ときわ台駅,7,東武東上線,上板橋駅,9.0,東武東上線,中板橋駅,18.0,69000.0,64000.0,5000.0,0.0,0.0,ワンルーム,12.38,https://suumo.jp/chintai/jnc_000044345917/?bc=100258024805
5219,3305,F-SQUARE,東京都品川区二葉４,ＪＲ横須賀線,西大井駅,7,都営浅草線,中延駅,8.0,東急大井町線,戸越公園駅,11.0,70000.0,67000.0,3000.0,0.0,0.0,ワンルーム,15.44,https://suumo.jp/chintai/jnc_000055643835/?bc=100255023708
5220,3306,クララハウス,東京都江東区古石場２,東京メトロ東西線,門前仲町駅,7,ＪＲ京葉線,越中島駅,7.0,東京メトロ東西線,木場駅,11.0,78000.0,75000.0,3000.0,0.0,0.0,ワンルーム,20.5,https://suumo.jp/chintai/jnc_000069691027/?bc=100256337234
5221,3306,クララハウス,東京都江東区古石場２,東京メトロ東西線,門前仲町駅,7,ＪＲ京葉線,越中島駅,7.0,東京メトロ東西線,木場駅,11.0,79000.0,76000.0,3000.0,0.0,0.0,ワンルーム,20.0,https://suumo.jp/chintai/jnc_000069691029/?bc=100257014507
5222,3306,クララハウス,東京都江東区古石場２,東京メトロ東西線,門前仲町駅,7,ＪＲ京葉線,越中島駅,7.0,東京メトロ東西線,木場駅,11.0,80000.0,77000.0,3000.0,0.0,0.0,ワンルーム,20.5,https://suumo.jp/chintai/jnc_000069495941/?bc=100257053765
5223,3306,クララハウス,東京都江東区古石場２,東京メトロ東西線,門前仲町駅,7,ＪＲ京葉線,越中島駅,7.0,東京メトロ東西線,木場駅,11.0,80000.0,77000.0,3000.0,0.0,0.0,ワンルーム,20.5,https://suumo.jp/chintai/jnc_000069691028/?bc=100240875831
5224,3307,東京メトロ千代田線 北千住駅 5階建 築3年,東京都足立区千住仲町,東京メトロ千代田線,北千住駅,5,京成本線,千住大橋駅,9.0,ＪＲ常磐線,南千住駅,20.0,75000.0,71000.0,4000.0,71000.0,0.0,ワンルーム,15.08,https://suumo.jp/chintai/jnc_000053879594/?bc=100250585617
5225,3307,東京メトロ千代田線 北千住駅 5階建 築3年,東京都足立区千住仲町,東京メトロ千代田線,北千住駅,5,京成本線,千住大橋駅,9.0,ＪＲ常磐線,南千住駅,20.0,75000.0,71000.0,4000.0,71000.0,0.0,ワンルーム,15.0,https://suumo.jp/chintai/jnc_000053879592/?bc=100250585584
5226,3307,東京メトロ千代田線 北千住駅 5階建 築3年,東京都足立区千住仲町,東京メトロ千代田線,北千住駅,5,京成本線,千住大橋駅,9.0,ＪＲ常磐線,南千住駅,20.0,76000.0,72000.0,4000.0,72000.0,0.0,ワンルーム,15.0,https://suumo.jp/chintai/jnc_000053879593/?bc=100248429798
